# 2019-01-05_18:56:48
status,alpha,alphaErr,aGGInv,aGGInvErr,c6,c6Err,c8,c8Err,c10,c10Err,c12,c12Err,chi,dof,chiDof,edm,del^(0),del^(4),del^(6),del^(8),del^(10),del^(12)
3,0.325508689979018,0.00133288927946845,0.021,0,-0.441464239318257,0.0425158182018604,-0.290924882763989,0.0689455856733529,-278.839499679993,345103.974253199,50.3799524194122,195876.118741026,39.9846532661468,18,2.22136962589704,0.0562022287629549,0.210491527682356,0.00082767303283949,-0.0166133515864221,0.0023117715459041,-7.88517565143415e-16,1.73626106942568e-16
3,0.325451536632853,0.00309252179276896,0.021,0,-0.439534694616622,0.0430489702647893,-0.288299280781487,0.09096709907229,-97.264573481695,105398.088619007,-56.7829658324987,195763.588743014,39.9700649660081,17,2.35118029211812,0.000274878444827538,0.210421803816748,0.000827355381017371,-0.0165407382200949,0.0022909077686419,-1.88998730351045e-16,-9.55081742500979e-17
3,0.326493635522028,0.00120445359713922,0.021,0,-0.477783366376736,0.0162852100593043,-0.342573826174838,0.0195580502356015,-5.21395764234694,40798.4939707555,-5.62629784558681,67858.1327060393,32.5445731133223,16,2.03403581958264,1.96491587147152e-06,0.211696038223327,0.000833158284834242,-0.0179801269068109,0.00272218868389114,-6.84349666332227e-18,-9.55469525987704e-18
3,0.325671460136064,0.00176757544009516,0.021,0,-0.465342043102256,0.0361428732207181,-0.336740530481623,0.0479903111035794,111067.026400596,6.01356381562079,-1835371796.11026,785.267368424916,31.4889644794166,15,2.09926429862777,120480307.997378,0.210690200248055,0.000828578075694912,-0.0175119302572285,0.00267583566357091,1.66996713227319e-13,-6.35561225384977e-09
0,0.327257406069637,0.00231411950074086,0.021,0,-0.506392179004227,0.0521524356571992,-0.38430439585305,0.065694865566045,0.78635124423364,1.99999800001118,0.0200601832793621,1.99999799991886,31.030697022099,14,2.21647835872136,2.37495349222037e-07,0.212633896144465,0.000837426164954026,-0.0190567447170883,0.00305379161403554,1.34718387672792e-18,6.40319238469637e-20
0,0.328109077718103,0.00231763357735937,0.021,0,-0.53978699537909,0.0535296923467123,-0.43326110977987,0.0684072805452332,0.786111398496571,1.99999800000589,0.0200637023690031,1.99999799992963,26.8154876332846,13,2.06272981794497,4.37152156335691e-07,0.213683649244115,0.000842200049313699,-0.0203134712561537,0.00344281553375576,2.15825449534345e-18,6.97032719943291e-20
0,0.328348491207189,0.00236644645425173,0.021,0,-0.549245989527779,0.0562643448054581,-0.447501831940127,0.0732451192016216,0.875673811303017,283939.075029225,0.0200617968426964,473975.513899374,26.5462677857108,12,2.21218898214257,4.46909154589924e-08,0.21397949927681,0.000843544852521151,-0.0206694357521428,0.00355597634685099,2.04524564557438e-18,4.6968700830642e-20
0,0.32836705835458,0.00238700442471815,0.021,0,-0.550009435662151,0.0587755556665349,-0.44868863133251,0.0781736670364705,0.875657566253816,1.99999799996113,0.0200582915738452,1.999998000003,26.544522136519,11,2.41313837604719,1.96256884292221e-07,0.21400245707488,0.000843649197219987,-0.0206981660499064,0.00356540699107758,3.4857331268748e-18,6.24335717830536e-20
0,0.328089321272376,0.0024705480667429,0.021,0,-0.538397518179993,0.0634526129045184,-0.430114224194718,0.0868255580025667,0.875676243228638,407127.928509439,0.0200623113229962,969296.994435887,26.2924714979922,10,2.62924714979922,1.5549480889481e-06,0.213659250440535,0.000842089131122658,-0.0202611819172357,0.00341780948929214,1.67554011528492e-18,3.60338585210836e-20
0,0.329096782065181,0.00254656138028587,0.021,0,-0.581198777944318,0.0702592360764377,-0.499560825469928,0.0996623744087159,0.875674480363712,1.99999799998308,0.0200625147876369,1.999998000003,24.3628181384811,9,2.70697979316457,1.39551712762145e-05,0.214906322728541,0.000847756031595539,-0.021871895341962,0.00396965185926231,1.95321592583353e-18,3.43984156705929e-20
3,0.329268539362311,0.00103699599496273,0.021,0,-0.588931048670631,0.0501199651111775,-0.512531999370864,0.0855587710643119,-19261.5806583701,406.060513696415,168.068457438192,16033.9686208035,24.2991253308937,8,3.03739066636172,0.0265062971328757,0.215119517354423,0.00084872434112545,-0.022162879119801,0.00407272448218912,-8.71503594531306e-14,3.19783461860608e-16
0,0.328133430199217,0.00278936042887536,0.021,0,-0.536683557049766,0.0855096744309117,-0.422335581829892,0.13014176309741,0.875674059268757,1.99999799998117,0.0200619857396166,1.9999980000031,22.5064423600716,7,3.21520605143879,3.59142868676716e-06,0.213713727159707,0.000842336782511365,-0.0201966814745591,0.00335599819314612,2.67602631457466e-18,4.17672044853727e-20
1,0.327574488072479,nan,0.021,0,-0.503431846060526,nan,-0.358346626254075,nan,-575920946.224947,nan,-3928399199.42052,nan,20.0792631454751,6,3.34654385757919,nan,0.213024236379503,0.000839201681309452,-0.0189453403322563,0.00284752382221271,-1.44593952183264e-09,-1.1896383914881e-08
0,0.323163852825486,0.00320498702186793,0.021,0,-0.305907147829059,0.108815252173794,-0.00762131438965361,0.178697557396172,-220.865653694003,1.99999800000297,-110.29054703103,1.999998000003,7.89462352098781,5,1.57892470419756,1.51681531819519e-07,0.207646201806278,0.000814698290181597,-0.0115120151238795,6.05611234797119e-05,-1.0478486349327e-15,-2.73419524393395e-16
0,0.3233849237046,0.00335845127220888,0.021,0,-0.316643047757528,0.121232168418611,-0.0283190528846144,0.208046810648374,0.875674071870907,1.99999799998882,0.0200619555803491,1.99999800000318,7.86238864882762,4,1.9655971622069,5.73829036411976e-07,0.207913128944447,0.000815916510196817,-0.0119160326279558,0.000225031217830599,3.30535323554512e-18,5.88771294615239e-20
0,0.32563024067911,0.00392925079958788,0.021,0,-0.428499666518299,0.157580745668358,-0.249479591763052,0.285198807845524,0.875674071934224,1.99999799998821,0.0200619552360473,1.99999800000301,6.51726996205798,3,2.17242332068599,5.09698874903829e-09,0.210639874666809,0.00082834883132964,-0.0161254638099941,0.00198243552095703,2.58627437420267e-18,1.53196457704635e-20
0,0.330827269666876,0.00431270194492709,0.021,0,-0.715370845359297,0.19314500442187,-0.849960021717817,0.367394198928152,0.875674071896997,1.99999800000294,0.0200619553891106,1.999998000003,0.772999765436907,2,0.386499882718454,9.64294040231152e-07,0.217062152360508,0.000857541082328711,-0.02692111004729,0.00675402315090833,1.2578943379076e-18,3.27004908860743e-20
0,0.330403008992101,0.00504006226791432,0.021,0,-0.691272868056415,0.243015559154288,-0.798132346985325,0.486360985410149,0.87567407186146,1.999998000003,0.0200619551421461,1.999998000003,0.748237090327507,1,0.748237090327507,7.00238046116934e-06,0.216531994947542,0.000855136107017503,-0.0260142457221691,0.00634218576319975,1.75350072917715e-18,6.48778440721923e-20
