# 2019-01-07_10:32:18
status,alpha,alphaErr,aGGInv,aGGInvErr,c6,c6Err,c8,c8Err,c10,c10Err,c12,c12Err,chi,dof,chiDof,edm,del^(0),del^(4),del^(6),del^(8),del^(10),del^(12)
3,0.3179,0,0.021,0,-0.61482112680282,6.37994548788593e-11,-0.405353487941271,0.00486067403484455,-0.210727880201727,6.75542264840537e-12,0.0200619551353711,0,3628.625,20,181.43125,9.97109828067571e+16,0.161262331005884,0.00133259626101764,-0.0771239482357548,0.0322105366358715,-0.00397778115771681,0.000378697242377448
3,0.3179,0,0.021,0,-0.472964246721395,4.65907326815802e-07,-0.415763312821541,6.15565169190729e-07,-0.296205106120519,6.83307280396664e-07,0.0200619551353711,0,2926.12109375,19,154.006373355263,1.15063343051053,0.161262331005884,0.00133259626101764,-0.0593292398249063,0.0330377308149123,-0.00559128241036639,0.000378697242377448
3,0.3179,0,0.021,0,-0.578855293504807,2.15223247035817e-07,-0.554314322280572,3.42831561510496e-07,-0.413683266687598,1.90597622879252e-07,0.0200619551353711,0,4991.5966796875,18,277.310926649306,0.445606947358909,0.161262331005884,0.00133259626101764,-0.0726123481221475,0.0440473865817419,-0.00780884571095867,0.000378697242377448
1,0.3179,0,0.021,0,0.0540869354443293,nan,-0.240041142849933,nan,-0.494655553845565,nan,0.0200619551353711,0,317111.4375,17,18653.6139705882,nan,0.161262331005884,0.00133259626101764,0.00678473433587275,0.0190743493170693,-0.00933730999316881,0.000378697242377448
1,0.3179,0,0.021,0,-0.788094330154998,nan,0.0850269923893949,nan,0.494865807902074,nan,0.0200619551353711,0,163480,16,10217.5,nan,0.161262331005884,0.00133259626101764,-0.0988595604055407,-0.00675648572140415,0.00934127883024682,0.000378697242377448
3,0.3179,0,0.021,0,-2.06410489084219,4.22576170331177e-08,-0.412471779965689,1.0733915858567e-08,0.600841460236672,1.70440496937532e-08,0.0200619551353711,0,605968,15,40397.8666666667,132538412675.996,0.161262331005884,0.00133259626101764,-0.258923956602318,0.0327761762883186,0.0113417163263663,0.000378697242377448
3,0.3179,0,0.021,0,-2.07093551342409,1.94001356469001e-07,-0.308397617447344,1.54009930671763e-07,0.781693634985914,5.129890489242e-07,0.0200619551353711,0,642384,14,45884.5714285714,138743561612.897,0.161262331005884,0.00133259626101764,-0.259780798632396,0.0245061484623079,0.0147555520863094,0.000378697242377448
3,0.3179,0,0.021,0,-1.49842341480914,6.26661685818579e-07,-0.298650196978838,1.44929070160455e-07,0.447420670053478,2.01027269322682e-07,0.0200619551353711,0,244007.5,13,18769.8076923077,35557001334.2442,0.161262331005884,0.00133259626101764,-0.187964148987428,0.0237315908146097,0.00844568601557627,0.000378697242377448
3,0.3179,0,0.021,0,-1.53525027461184,3.20260706256571e-11,-0.244218260308397,7.74864458737801e-11,0.584499268099542,0.0103595800782535,0.0200619551353711,0,248901.28125,12,20741.7734375,15277204849277.5,0.161262331005884,0.00133259626101764,-0.192583757366662,0.0194062749053046,0.0110332347723516,0.000378697242377448
3,0.3179,0,0.021,0,2.16815612107019,4.8774850559692e-07,2.64330441735836,4.56803891245076e-07,2.19318892521524,3.50781322419118e-07,0.0200619551353711,0,28806.5078125,11,2618.7734375,97.3751286996157,0.161262331005884,0.00133259626101764,0.27197627595852,-0.210044458251751,0.0413994843666769,0.000378697242377448
