# 2019-01-07_12:09:54
status,alpha,alphaErr,aGGInv,aGGInvErr,c6,c6Err,c8,c8Err,c10,c10Err,c12,c12Err,chi,dof,chiDof,edm,del^(0),del^(4),del^(6),del^(8),del^(10),del^(12)
3,0.3179,0,0.021,0,-0.440565038745084,6.96736154245636e-08,0.588355692320875,6.1863650731292e-08,1.30897917079025,1.33905666840651e-07,-0.356709556206785,3.93118448811209e-08,354816,19,18674.5263157895,2363861427364.44,0.161262331005884,0.00133259626101764,-0.0552650417518203,-0.046752410294224,0.0247087982683109,-0.00673338786542423
3,0.3179,0,0.021,0,-1.9001527345158,1.46223388436477e-07,-0.46623862529795,3.20358153847951e-08,0.367235860936115,1.678725763916e-08,0.0129406588358663,8.56135850684007e-10,558532,18,31029.5555555556,88595793984036.7,0.161262331005884,0.00133259626101764,-0.238357588489023,0.0370486421554952,0.0069320864741353,0.000244272892777519
1,0.3179,0,0.021,0,-0.439818963922578,nan,-0.43397748991925,nan,0.0656633139570189,nan,-0.261152284015841,nan,139380.890625,17,8198.87591911765,nan,0.161262331005884,0.00133259626101764,-0.055171453172179,0.0344850809331454,0.00123948616937367,-0.00492961175169839
1,0.3179,0,0.021,0,-0.425326174337493,nan,-0.280856656828685,nan,-0.180691789009374,nan,0.0202717118331277,nan,731.8125,16,45.73828125,nan,0.161262331005884,0.00133259626101764,-0.0533534591166328,0.022317665700016,-0.00341080825654195,0.000382656691118841
3,0.3179,0,0.021,0,-0.439712854014466,2.20713003869396e-07,-0.288307107162188,1.19622346547012e-07,0.875405194673927,3.05178432220446e-07,-0.861591450191301,4.84326310986709e-07,758.375,15,50.5583333333333,67116445737.4637,0.161262331005884,0.00133259626101764,-0.0551581426096371,0.0229096995928039,0.0165244878153187,-0.0162637342194114
3,0.3179,0,0.021,0,-2.19630902095574,8.27637723728579e-06,0.782259485707507,0.000907131122130976,1.78590109618576,1.08679080317002e-05,0.304596775210643,7.64075089107728e-06,2057024,14,146930.285714286,4441769684519.98,0.161262331005884,0.00133259626101764,-0.275507811715514,-0.0621605551024401,0.0337113614162163,0.0057496868092363
3,0.3179,0,0.021,0,-3.96916066993351,7.62783104766255e-10,-4.39179710586552,7.80263479664262e-11,-3.5103889371423,1.61404794810807e-09,-0.0314449932897349,0.01185392382781,302705,13,23285,2.67158796133208e+15,0.161262331005884,0.00133259626101764,-0.497896589271762,0.3489846412677,-0.0662634624191876,-0.000593567883341781
3,0.3179,0,0.021,0,-1.43951744543033,8.69972590133512e-05,-0.288266886719133,1.42456288603874e-05,0.875674071856934,3.36295802154484e-05,0.0200619551353711,3.71731240387225e-06,2148818.25,12,179068.1875,411351323.507064,0.161262331005884,0.00133259626101764,-0.180574908873359,0.0229065035624426,0.0165295632452584,0.000378697242377448
1,0.3179,0,0.021,0,-1.7512039011699,nan,-0.305785511122867,nan,0.664978894493081,nan,0.00982576300048196,nan,336470.03125,11,30588.1846590909,nan,0.161262331005884,0.00133259626101764,-0.219673256393146,0.0242985830929098,0.0125523993989869,0.000185474911464458
3,0.3179,0,0.021,0,-1.14594527414389,3.70440755881673e-06,-0.412994607579647,1.35544650295955e-06,0.0239085905467048,4.68094339093065e-08,0.132478877702072,2.46228003030862e-07,82566.828125,10,8256.6828125,1.92057765832984,0.161262331005884,0.00133259626101764,-0.143748840355685,0.0328177216518461,0.000451307823593194,0.00250072265242885
