# 2019-01-06_22:03:59
status,alpha,alphaErr,aGGInv,aGGInvErr,c6,c6Err,c8,c8Err,c10,c10Err,c12,c12Err,chi,dof,chiDof,edm,del^(0),del^(4),del^(6),del^(8),del^(10),del^(12)
3,0.3179,0,0.021,0,-0.836517062294629,0.000337634077307085,-0.288266886719133,8.67237443110966e-05,0.875674071856934,0.000815165770400926,0.0200619551353711,0,59739.98046875,20,2986.9990234375,2840951.63039567,0.177948597913589,0.00105832991584286,-0.0629602619020873,0.00916260142497703,0.00330591264905167,7.57394484754894e-05
3,0.3179,0,0.021,0,-0.715326910510183,2.74912842178548e-07,-0.280483051530898,1.08222632778656e-07,0.327940146963059,6.60768487512492e-08,0.0200619551353711,0,7782.71875,19,409.616776315789,387932.078134636,0.177948597913589,0.00105832991584286,-0.0538389133483922,0.00891519118580863,0.00123806506875102,7.57394484754894e-05
3,0.3179,0,0.021,0,-0.529727049657501,1.06166392547349e-09,-0.338770755903482,1.29405235973064e-08,-0.137627314831175,0.0342037270627852,0.0200619551353711,0,1493.7001953125,18,82.9833441840278,284728207227.398,0.177948597913589,0.00105832991584286,-0.0398697830401329,0.0107678736399791,-0.000519581309505455,7.57394484754894e-05
3,0.3179,0,0.021,0,-0.172330500095032,1.16788965281443,0.31778265186842,2.79922784896849e-08,0.96004828607344,6.19368203111365e-07,0.0200619551353711,0,2108.31787109375,17,124.018698299632,4.77214598669743e+15,0.177948597913589,0.00105832991584286,-0.0129704149607404,-0.010100763955173,0.00362444872428414,7.57394484754894e-05
3,0.3179,0,0.021,0,-0.790297830162254,1.9800627531042e-06,-0.764705776023107,1.63104161542805e-06,-0.804751236455167,1.66492072987401e-06,0.0200619551353711,0,1316.8125,16,82.30078125,202629.301258573,0.177948597913589,0.00105832991584286,-0.0594815821582631,0.0243062750384657,-0.00303815926203622,7.57394484754894e-05
3,0.3179,0,0.021,0,0.149914977190324,0.0106313736536181,0.514072839655503,0.0164924080696902,0.89185245895097,0.024874886452124,0.0200619551353711,0,252.632446289062,15,16.8421630859375,149.06001813073,0.177948597913589,0.00105832991584286,0.0112833158490004,-0.0163398737426225,0.00336699055035577,7.57394484754894e-05
3,0.3179,0,0.021,0,0.807046270409015,0.000311465018489086,1.70850255072549,0.0111938778985465,2.92016746740127,0.0406634844521358,0.0200619551353711,0,1248.9189453125,14,89.20849609375,205439.149020347,0.177948597913589,0.00105832991584286,0.0607421496133906,-0.0543049813456609,0.0110244426300751,7.57394484754894e-05
3,0.3179,0,0.021,0,-0.126890531755903,0.00132740347041476,0.0529333502475328,1.89846687925707e-05,0.166697972186543,0.00334400339492506,0.0200619551353711,0,70.1043605804443,13,5.39264312157264,46.9539849919282,0.177948597913589,0.00105832991584286,-0.00955038632485533,-0.00168249359448423,0.000629331109066792,7.57394484754894e-05
3,0.3179,0,0.021,0,-0.277969526875368,0.00252294524204737,-0.201232875077596,0.00195503442293138,-0.238042919897075,0.00029461008977841,0.0200619551353711,0,47.8175837621093,12,3.98479864684244,25.0084687806002,0.177948597913589,0.00105832991584286,-0.0209213117122391,0.00639621376191809,-0.000898678087197611,7.57394484754894e-05
1,0.3179,0,0.021,0,-0.260228454700063,0.0148083819932631,-0.171813816962608,0.0222768671165751,-0.192682453112762,0.0343018466895014,0.0200619551353711,0,46.7585741635412,11,4.25077946941284,1.28900738175421e-05,0.177948597913589,0.00105832991584286,-0.0195860340461541,0.0054611250776999,-0.000727429736094613,7.57394484754894e-05
3,0.3179,0,0.021,0,-0.214339525062469,0.00405440750298877,-0.0701046153571137,0.0184965730049925,0.0144390284785816,0.0602297101453573,0.0200619551353711,0,39.5374256023206,10,3.95374256023206,8.72824405431689e-05,0.177948597913589,0.00105832991584286,-0.0161322144426852,0.0022282845451979,5.45113398026464e-05,7.57394484754894e-05
0,0.3179,0,0.021,0,-0.194509777868481,0.0112843619200235,-0.0237662858159421,0.016478068026934,0.113441914042055,0.0343923104653437,0.0200619551353711,0,37.8442629900528,9,4.20491811000587,1.92173268026275e-06,0.177948597913589,0.00105832991584286,-0.0146397331376884,0.000755414563087619,0.00042827470929793,7.57394484754894e-05
0,0.3179,0,0.021,0,-0.10211451946014,0.0173615961149935,0.191520668276546,0.0285672486130677,0.575894559219371,0.0551827754183606,0.0200619551353711,0,13.2761461138725,8,1.65951826423407,1.19324894462823e-07,0.177948597913589,0.00105832991584286,-0.00768562552876153,-0.00608750997395346,0.00217416179036348,7.57394484754894e-05
0,0.3179,0,0.021,0,-0.074175197418997,0.019155155108495,0.261568643166882,0.0369004676892279,0.73541369793219,0.0814000135143595,0.0200619551353711,0,10.8565813340247,7,1.55094019057495,1.60756123315509e-07,0.177948597913589,0.00105832991584286,-0.0055827789612906,-0.00831399419436374,0.00277639081070919,7.57394484754894e-05
0,0.3179,0,0.021,0,-0.0478310224346739,0.0267983170233111,0.330572739523949,0.0588024324424941,0.899667970663527,0.135375222619421,0.0200619551353711,0,9.70946123899193,6,1.61824353983199,3.59520914204474e-06,0.177948597913589,0.00105832991584286,-0.003599990765605,-0.0105072985964283,0.00339649627612718,7.57394484754894e-05
0,0.3179,0,0.021,0,-0.103283261566108,0.0626245395571132,0.176450550725013,0.145111288074957,0.515278958583786,0.324986985075538,0.0200619551353711,0,6.8255876962794,5,1.36511753925588,1.61392521883373e-08,0.177948597913589,0.00105832991584286,-0.0077735906312137,-0.00560850427848909,0.00194532107518038,7.57394484754894e-05
0,0.3179,0,0.021,0,-0.0643075778748996,0.0723020721391887,0.292205543768457,0.181799910263811,0.822872474787164,0.438171606128513,0.0200619551353711,0,5.88450071822444,4,1.47112517955611,3.58675061751249e-08,0.177948597913589,0.00105832991584286,-0.00484009487407984,-0.00928779216437609,0.00310657196596748,7.57394484754894e-05
0,0.3179,0,0.021,0,-0.0292872896812884,0.087605418298834,0.405313862598824,0.237500612041482,1.1480598924201,0.613067499742777,0.0200619551353711,0,5.26224595932399,3,1.75408198644133,9.68348543597332e-07,0.177948597913589,0.00105832991584286,-0.00220430103801848,-0.0128829551575562,0.00433424471752613,7.57394484754894e-05
0,0.3179,0,0.021,0,0.128758577740196,0.128101814798778,0.952015551206183,0.398996983082202,2.82374291518741,1.15455290320363,0.0200619551353711,0,2.27156873200215,2,1.13578436600108,5.51461167612393e-07,0.177948597913589,0.00105832991584286,0.00969098437086959,-0.0302599412140635,0.0106604131845453,7.57394484754894e-05
0,0.3179,0,0.021,0,0.497544777613876,0.276213558579346,2.40682338039107,1.04475124880072,7.86702375698706,3.54101735637003,0.0200619551353711,0,0.00147506116966506,1,0.00147506116966506,4.00687410866197e-08,0.177948597913589,0.00105832991584286,0.0374475918287393,-0.0765012020139721,0.0297001980353972,7.57394484754894e-05
