# 2019-01-06_06:34:24
status,alpha,alphaErr,aGGInv,aGGInvErr,c6,c6Err,c8,c8Err,c10,c10Err,c12,c12Err,chi,dof,chiDof,edm,del^(0),del^(4),del^(6),del^(8),del^(10),del^(12)
1,0.0394902041284026,nan,0.021,0,-0.541077186957409,nan,-0.38213364710737,nan,0.717989449667053,nan,0.0165590343230828,nan,19320392,18,1073355.11111111,nan,0.0090687631345725,1.75217955412682e-05,-0.0678734141350258,0.0303654222946626,0.0135530471885877,0.000312574751178107
3,0.317899372707973,3.96366185447138e-08,0.021,0,-1.43951675901525,1.58387360848223e-07,-0.288266886719133,4.47185111787984e-08,0.875674071856934,1.55257672671478e-07,0.0200619647016568,1.18015599484959e-09,6444046,17,379061.529411765,1189530244.52298,0.161261650262738,0.00133259048609769,-0.180574822768573,0.0229065035624426,0.0165295632452584,0.000378697422954365
3,0.3179,1.49449724689864e-06,0.021,0,-0.43951654943733,5.93263485816737e-07,-0.288266886719133,7.54045911531429e-07,0.87567448941087,1.28083538849012e-06,0.0200619551353711,3.71866739061363e-08,18972516,16,1185782.25,1334336080.53411,0.161262331005884,0.00133259626101764,-0.0551335179124927,0.0229065035624426,0.0165295711271683,0.000378697242377448
3,0.317037237825302,0.0445743495731466,0.021,0,-0.439985162035966,9.93211097677539e-09,-0.288129470310729,3.09725650278094e-08,0.866981208721271,1.23406791408344e-08,0.0200601993275906,1.52429912079097e-07,16447375,15,1096491.66666667,51035380064968.2,0.160328415031428,0.0013246672657637,-0.0551923012760179,0.0228955840652903,0.0163654733908236,0.000378664099069125
3,0.0389730559719535,4.89530428398986e-11,0.021,0,2.62722936792057,2.75537136722278e-09,-0.4481360162985,3.274600400751e-10,0.177746563197015,5.13989692847758e-10,-1.5571221032028,1.87724831436323e-09,3235456,14,231104,760352.881884259,0.00894035906637036,1.7067666646973e-05,0.329563010999042,0.0356101575544545,0.00335521303235799,-0.0293928404559243
1,0.339356838560524,nan,0.021,0,-0.484205329098492,nan,-0.149446856021925,nan,0.469681712161418,nan,-0.370154496634859,nan,11720.75,13,901.596153846154,nan,0.186073348814392,0.00153868878688431,-0.0607393355707591,0.0118754706058122,0.00886589407614869,-0.00698717977302668
3,0.289942778041122,3.01384837378995e-07,0.021,0,-0.649597746099728,4.80944766800143e-07,-0.278091986440407,1.62132445968272e-07,0.405530750612249,4.34497082966563e-07,-0.339591199034908,2.22847850400153e-07,24133.5,12,2011.125,623580766.573646,0.133279316467966,0.00108942736755511,-0.0814863718245744,0.0220979771578499,0.00765495565710597,-0.00641025511932449
3,0.3179,6.74689350698782e-06,0.021,0,-1.43951744543033,8.25957330338127e-05,-0.288266886719133,1.36542818332409e-05,0.875674071856934,3.0935099533182e-05,0.0200619551353711,3.5580244173566e-06,2148818.25,11,195347.113636364,198168079.566364,0.161262331005884,0.00133259626101764,-0.180574908873359,0.0229065035624426,0.0165295632452584,0.000378697242377448
1,0.298310142190092,nan,0.021,0,-1.58592596419068,nan,-0.310589417011499,nan,0.738368480343267,nan,0.00331138854252077,nan,554430.125,10,55443.0125,nan,0.141178777184998,0.0011592526429282,-0.198940580659664,0.0246803150656799,0.013937729671792,6.25070538255739e-05
3,0.130314890406296,3.97721631457147e-08,0.021,0,-1.44038163070658,5.38453750239356e-07,-0.331427908713897,1.17404507129706e-07,0.462757212257584,1.63689693707982e-07,0.00463066694689637,2.7872872910342e-09,221475.1875,9,24608.3541666667,151230441.079863,0.0369311260434984,0.000198738596989215,-0.180683313379329,0.0263362006578464,0.00873518453160378,8.74102644196556e-05
3,0.357970909814009,4.49678429294785e-06,0.021,0,-2.10670226572547,7.91399427973602e-05,-0.148810915188222,2.56074104383405e-06,0.940136907576097,1.710972424646e-05,0.190472859661512,4.191974193279e-06,429897.3125,8,53737.1640625,122549777.378215,0.210264043881987,0.00173158970815632,-0.264267425771247,0.0118249369453613,0.0177463887220354,0.00359543953791357
3,0.303637005644384,0.000797104675514164,0.021,0,0.136732841269583,0.00155558197636117,0.276318133833495,0.000666701698193165,0.506665622723347,0.00101970928098979,-0.199774255942009,1.67102710346609e-06,361.85230255127,7,51.6931860787528,135.717109978541,0.146413508812289,0.00120501068576608,0.0171519424308674,-0.0219570218038656,0.0095640167091439,-0.00377101629989494
